,datetime,source,MW
0,2016-10-27 11:46:15,Both,-0.2
1,2016-10-27 12:26:17,Both,-0.12
2,2016-10-27 12:46:24,Both,-0.14
3,2016-10-27 13:30:12,Both,0.0
4,2016-10-27 14:56:46,Both,0.06
5,2016-10-27 15:44:13,Both,-0.15
6,2016-10-27 16:08:46,Both,-0.27
7,2016-10-27 17:20:51,Both,0.15
8,2016-10-27 18:22:13,Both,-0.19
9,2016-10-27 18:39:20,Both,0.13
10,2016-10-27 19:06:03,Both,-0.21
11,2016-10-27 19:15:45,Both,0.2
12,2016-10-27 19:16:23,Both,-0.19
13,2016-10-27 19:42:57,Both,-0.05
14,2016-10-27 20:25:57,Both,0.19
15,2016-10-27 21:26:18,Both,0.29
16,2016-10-27 22:36:39,Both,0.17
17,2016-10-27 23:15:42,Both,-0.14
18,2016-10-27 23:36:49,Both,-0.09
19,2016-10-28 00:44:21,Both,-0.12
20,2016-10-28 01:19:14,Both,-0.33
21,2016-10-28 01:32:51,Both,-0.22
22,2016-10-28 01:42:33,Both,-0.02
23,2016-10-28 02:12:58,Both,-0.07
24,2016-10-28 03:10:45,Both,-0.07
25,2016-10-28 03:23:00,Both,0.01
26,2016-10-28 04:12:21,Both,0.05
27,2016-10-28 04:36:05,Both,-0.14
28,2016-10-28 05:17:16,Both,0.15
29,2016-10-28 06:45:41,Both,-0.05
30,2016-10-28 07:35:20,Both,-0.06
31,2016-10-28 08:26:14,Both,-0.18
32,2016-10-28 09:40:53,Both,-0.15
33,2016-10-28 10:07:23,Both,-0.39
34,2016-10-28 10:18:04,Both,-0.27
35,2016-10-28 10:49:29,Both,-0.13
36,2016-10-28 13:32:09,Both,-0.24
37,2016-10-28 13:35:58,Both,-0.24
38,2016-10-28 14:01:49,Both,-0.07
39,2016-10-28 14:12:52,Both,-0.09
40,2016-10-28 14:21:30,Both,-0.27
41,2016-10-28 15:40:56,Both,0.01
42,2016-10-28 17:02:35,Both,-0.14
43,2016-10-28 17:31:24,Both,-0.19
44,2016-10-28 17:44:58,Both,-0.1
45,2016-10-28 20:02:02,Both,-0.2
46,2016-10-28 20:04:45,Both,-0.32
47,2016-10-28 21:01:17,Both,0.04
