,datetime,source,Easting (m),Northing (m),TVD (m),MW,double_flag
0,2016-10-27 11:46:15.000,srl,3411.0,5069.0,3607.0,-0.2,True
1,2016-10-27 11:46:15.684,es,,,,,True
2,2016-10-27 12:26:16.862,es,,,,,True
3,2016-10-27 12:26:17.000,srl,3381.0,5074.0,3618.0,-0.12,True
4,2016-10-27 12:46:24.000,srl,3391.0,5049.0,3634.0,-0.14,True
5,2016-10-27 12:46:24.788,es,,,,,True
6,2016-10-27 13:30:12.000,srl,3411.0,5074.0,3662.0,0.0,True
7,2016-10-27 13:30:12.714,es,,,,,True
8,2016-10-27 14:56:46.000,srl,3391.0,5049.0,3657.0,0.06,True
9,2016-10-27 14:56:46.770,es,,,,,True
10,2016-10-27 15:44:13.000,srl,3391.0,5049.0,3652.0,-0.15,True
11,2016-10-27 15:44:13.274,es,,,,,True
12,2016-10-27 16:08:45.818,es,,,,,True
13,2016-10-27 16:08:46.000,srl,3396.0,5044.0,3512.0,-0.27,True
14,2016-10-27 17:20:51.000,srl,3401.0,5059.0,3584.0,0.15,True
15,2016-10-27 17:20:51.770,es,,,,,True
16,2016-10-27 18:22:13.000,srl,3386.0,5074.0,3563.0,-0.19,True
17,2016-10-27 18:22:13.682,es,,,,,True
18,2016-10-27 18:39:20.000,srl,3401.0,5064.0,3622.0,0.13,True
19,2016-10-27 18:39:20.152,es,,,,,True
20,2016-10-27 19:06:03.000,srl,3396.0,5044.0,3613.0,-0.21,True
21,2016-10-27 19:06:03.672,es,,,,,True
22,2016-10-27 19:15:45.000,srl,3401.0,5064.0,3618.0,0.2,True
23,2016-10-27 19:15:45.358,es,,,,,True
24,2016-10-27 19:16:23.000,srl,3396.0,5063.0,3599.0,-0.19,True
25,2016-10-27 19:16:23.474,es,,,,,True
26,2016-10-27 19:42:57.000,srl,3401.0,5074.0,3593.0,-0.05,True
27,2016-10-27 19:42:57.536,es,,,,,True
28,2016-10-27 20:25:57.000,srl,3401.0,5054.0,3594.0,0.19,True
29,2016-10-27 20:25:57.288,es,,,,,True
30,2016-10-27 21:26:18.000,srl,3401.0,5054.0,3594.0,0.29,True
