,datetime,source,Easting (m),Northing (m),TVD (m),MW,double_flag
0,2016-10-26 03:01:10.486,es,,,,,False
1,2016-10-26 03:03:56.320,es,,,,,False
2,2016-10-26 03:15:36.000,srl,3300.0,5000.0,3613.0,-0.21,False
3,2016-10-26 07:54:25.904,es,,,,,False
4,2016-10-26 09:40:43.214,es,,,,,False
5,2016-10-26 10:42:51.714,es,,,,,False
6,2016-10-26 15:42:19.188,es,,,,,False
7,2016-10-26 19:33:12.400,es,,,,,False
8,2016-10-26 21:39:57.000,srl,3450.0,5100.0,3917.0,-0.07,False
9,2016-10-26 22:33:55.076,es,,,,,False
10,2016-10-26 23:29:56.608,es,,,,,False
11,2016-10-27 01:05:45.364,es,,,,,False
12,2016-10-27 01:24:01.000,srl,3300.0,5050.0,3822.0,0.14,False
13,2016-10-27 01:40:43.000,srl,3400.0,5100.0,3868.0,-0.38,False
14,2016-10-27 01:43:11.000,srl,3350.0,5150.0,4097.0,-0.25,False
15,2016-10-27 02:22:46.468,es,,,,,False
16,2016-10-27 02:29:52.000,srl,3300.0,5050.0,3827.0,0.17,False
17,2016-10-27 02:52:32.018,es,,,,,False
18,2016-10-27 04:26:56.000,srl,3300.0,4900.0,3419.0,-0.36,False
19,2016-10-27 04:40:13.484,es,,,,,False
20,2016-10-27 04:40:26.780,es,,,,,False
21,2016-10-27 05:05:29.972,es,,,,,False
22,2016-10-27 05:41:13.752,es,,,,,False
23,2016-10-27 05:48:23.216,es,,,,,False
24,2016-10-27 05:48:59.756,es,,,,,False
25,2016-10-27 07:26:17.662,es,,,,,False
26,2016-10-27 07:51:53.572,es,,,,,False
27,2016-10-27 08:03:17.792,es,,,,,False
28,2016-10-27 09:06:17.980,es,,,,,False
29,2016-10-27 09:30:35.726,es,,,,,False
30,2016-10-27 10:17:05.452,es,,,,,False
31,2016-10-27 10:39:47.478,es,,,,,False
32,2016-10-27 10:46:00.476,es,,,,,False
33,2016-10-27 10:46:08.278,es,,,,,False
34,2016-10-27 10:51:53.962,es,,,,,False
35,2016-10-27 10:52:25.888,es,,,,,False
36,2016-10-27 10:58:32.198,es,,,,,False
37,2016-10-27 11:03:12.042,es,,,,,False
38,2016-10-27 11:08:42.078,es,,,,,False
39,2016-10-27 11:31:03.660,es,,,,,False
40,2016-10-27 11:35:39.812,es,,,,,False
41,2016-10-27 11:43:11.398,es,,,,,False
42,2016-10-27 11:43:19.254,es,,,,,False
43,2016-10-27 11:43:21.254,es,,,,,False
44,2016-10-27 11:43:41.672,es,,,,,False
45,2016-10-27 12:01:24.292,es,,,,,False
46,2016-10-27 12:14:43.114,es,,,,,False
47,2016-10-27 12:58:18.000,srl,3200.0,4900.0,5028.0,-0.35,False
48,2016-10-27 14:09:43.000,srl,2750.0,4200.0,3283.0,0.02,False
49,2016-10-27 14:15:32.000,srl,2850.0,4100.0,3514.0,0.13,False
50,2016-10-27 14:41:00.000,srl,2850.0,4150.0,3514.0,-0.1,False
51,2016-10-27 14:48:21.000,srl,2850.0,4300.0,3633.0,0.1,False
52,2016-10-27 16:08:13.000,srl,2750.0,4200.0,3663.0,-0.13,False
53,2016-10-27 16:19:15.896,es,,,,,False
54,2016-10-27 16:25:13.636,es,,,,,False
55,2016-10-27 16:32:43.000,srl,2900.0,4150.0,3579.0,-0.27,False
56,2016-10-27 16:36:28.000,srl,2800.0,4100.0,3718.0,-0.21,False
57,2016-10-27 17:05:22.000,srl,3350.0,5000.0,2038.0,-0.4,False
58,2016-10-27 17:07:41.824,es,,,,,False
59,2016-10-27 17:15:08.430,es,,,,,False
60,2016-10-27 17:47:04.892,es,,,,,False
61,2016-10-27 18:10:34.000,srl,3416.0,5064.0,3634.0,-0.24,False
62,2016-10-27 19:16:33.000,srl,3411.0,5064.0,3634.0,-0.26,False
63,2016-10-27 19:51:22.000,srl,3416.0,5074.0,3758.0,-0.34,False
64,2016-10-27 20:22:37.000,srl,3376.0,5049.0,3506.0,-0.27,False
65,2016-10-27 21:01:06.000,srl,3436.0,5109.0,3592.0,-0.35,False
66,2016-10-27 21:43:16.000,srl,3421.0,5094.0,3632.0,-0.38,False
67,2016-10-27 21:59:38.000,srl,3411.0,5084.0,3592.0,-0.23,False
68,2016-10-27 22:37:29.000,srl,3451.0,5034.0,3540.0,-0.33,False
69,2016-10-27 23:24:37.610,es,,,,,False
70,2016-10-28 00:08:59.462,es,,,,,False
71,2016-10-28 00:44:25.000,srl,3406.0,5064.0,3589.0,-0.19,False
72,2016-10-28 03:23:52.534,es,,,,,False
73,2016-10-28 04:39:56.368,es,,,,,False
