,datetime,Date,source,Easting (m),Northing (m),TVD (m),MW,double_flag,double_block,manual
0,2016-10-28 01:42:33,2016-10-28,ES,,,,,True,24,True
1,2016-10-28 01:42:33,2016-10-28,MFA,3411.0,5074.0,3583.0,-0.02,True,24,True
2,2016-10-28 01:42:34,2016-10-28,ES,,,,,True,24,True
3,2016-10-28 04:12:21,2016-10-28,ES,,,,,True,28,True
4,2016-10-28 04:12:21,2016-10-28,MFA,3411.0,5089.0,3612.0,0.05,True,28,True
5,2016-10-28 04:12:22,2016-10-28,ES,,,,,True,28,True
6,2016-10-28 13:32:09,2016-10-28,ES,,,,,True,41,True
7,2016-10-28 13:32:09,2016-10-28,MFA,3246.0,4919.0,3682.0,-0.24,True,41,True
8,2016-10-28 13:32:10,2016-10-28,ES,,,,,True,41,True
9,2016-10-28 17:02:34,2016-10-28,ES,,,,,True,48,True
10,2016-10-28 17:02:35,2016-10-28,MFA,3331.0,4919.0,3567.0,-0.14,True,48,True
11,2016-10-28 17:02:36,2016-10-28,ES,,,,,True,48,True
12,2016-10-28 21:45:37,2016-10-28,ES,,,,,True,55,True
13,2016-10-28 21:45:37,2016-10-28,MFA,3411.0,5089.0,3537.0,-0.02,True,55,True
14,2016-10-28 21:45:38,2016-10-28,ES,,,,,True,55,True
15,2016-10-29 05:44:36,2016-10-29,ES,,,,,True,59,True
16,2016-10-29 05:44:36,2016-10-29,MFA,3246.0,4919.0,3627.0,0.02,True,59,True
17,2016-10-29 05:44:37,2016-10-29,ES,,,,,True,59,True
18,2016-10-29 05:59:30,2016-10-29,ES,,,,,True,60,True
19,2016-10-29 05:59:30,2016-10-29,MFA,3416.0,5089.0,3568.0,0.04,True,60,True
20,2016-10-29 05:59:31,2016-10-29,ES,,,,,True,60,True
21,2016-10-29 10:11:18,2016-10-29,ES,,,,,True,66,True
22,2016-10-29 10:11:18,2016-10-29,MFA,3301.0,4899.0,3570.0,0.25,True,66,True
23,2016-10-29 10:11:19,2016-10-29,ES,,,,,True,66,True
24,2016-10-29 10:25:41,2016-10-29,ES,,,,,True,67,True
25,2016-10-29 10:25:41,2016-10-29,MFA,3241.0,4924.0,3572.0,0.0,True,67,True
26,2016-10-29 10:25:42,2016-10-29,ES,,,,,True,67,True
27,2016-10-29 11:34:16,2016-10-29,ES,,,,,True,68,True
28,2016-10-29 11:34:16,2016-10-29,MFA,3380.0,4888.0,3487.0,-0.04,True,68,True
29,2016-10-29 11:34:17,2016-10-29,ES,,,,,True,68,True
30,2016-10-29 15:29:18,2016-10-29,ES,,,,,True,73,True
31,2016-10-29 15:29:18,2016-10-29,MFA,3241.0,4924.0,3569.0,0.08,True,73,True
32,2016-10-29 15:29:19,2016-10-29,ES,,,,,True,73,True
33,2016-10-29 19:41:41,2016-10-29,ES,,,,,True,80,True
34,2016-10-29 19:41:42,2016-10-29,MFA,3326.0,4934.0,3618.0,0.1,True,80,True
35,2016-10-29 19:41:43,2016-10-29,ES,,,,,True,80,True
36,2016-10-29 22:49:44,2016-10-29,ES,,,,,True,86,True
37,2016-10-29 22:49:44,2016-10-29,MFA,3251.0,4949.0,3613.0,0.04,True,86,True
38,2016-10-29 22:49:45,2016-10-29,ES,,,,,True,86,True
39,2016-10-30 03:07:39,2016-10-30,ES,,,,,True,88,True
40,2016-10-30 03:07:40,2016-10-30,MFA,3226.0,4904.0,3543.0,0.13,True,88,True
41,2016-10-30 03:07:41,2016-10-30,ES,,,,,True,88,True
42,2016-10-30 14:56:38,2016-10-30,ES,,,,,True,104,True
43,2016-10-30 14:56:38,2016-10-30,MFA,3246.0,4904.0,3573.0,-0.08,True,104,True
44,2016-10-30 14:56:39,2016-10-30,ES,,,,,True,104,True
45,2016-10-30 15:23:53,2016-10-30,ES,,,,,True,105,True
46,2016-10-30 15:23:53,2016-10-30,MFA,3390.0,4923.0,3538.0,-0.25,True,105,True
47,2016-10-30 15:23:54,2016-10-30,ES,,,,,True,105,True
48,2016-10-30 16:19:44,2016-10-30,ES,,,,,True,106,True
49,2016-10-30 16:19:45,2016-10-30,MFA,3255.0,4996.0,3028.0,-0.16,True,106,True
50,2016-10-30 16:19:46,2016-10-30,ES,,,,,True,106,True
51,2016-10-30 16:21:46,2016-10-30,ES,,,,,True,107,True
52,2016-10-30 16:21:46,2016-10-30,MFA,3337.0,5109.0,2067.0,-0.4,True,107,True
53,2016-10-30 16:21:47,2016-10-30,ES,,,,,True,107,True
54,2016-10-30 21:05:51,2016-10-30,ES,,,,,True,114,True
55,2016-10-30 21:05:52,2016-10-30,MFA,3221.0,4924.0,3603.0,-0.19,True,114,True
56,2016-10-30 21:05:53,2016-10-30,ES,,,,,True,114,True
57,2016-10-31 02:54:34,2016-10-31,ES,,,,,True,124,True
58,2016-10-31 02:54:34,2016-10-31,MFA,3251.0,4929.0,3553.0,-0.15,True,124,True
59,2016-10-31 02:54:35,2016-10-31,ES,,,,,True,124,True
60,2016-10-31 02:55:12,2016-10-31,ES,,,,,True,125,True
61,2016-10-31 02:55:12,2016-10-31,MFA,3241.0,4949.0,3549.0,-0.27,True,125,True
62,2016-10-31 02:55:13,2016-10-31,ES,,,,,True,125,True
63,2016-10-31 16:24:13,2016-10-31,ES,,,,,True,129,True
64,2016-10-31 16:24:14,2016-10-31,MFA,3246.0,4944.0,3582.0,-0.16,True,129,True
65,2016-10-31 16:24:15,2016-10-31,ES,,,,,True,129,True
66,2016-10-31 19:31:38,2016-10-31,ES,,,,,True,131,True
67,2016-10-31 19:31:39,2016-10-31,MFA,3261.0,4939.0,3567.0,-0.14,True,131,True
68,2016-10-31 19:31:40,2016-10-31,ES,,,,,True,131,True
69,2016-10-31 23:32:29,2016-10-31,ES,,,,,True,135,True
70,2016-10-31 23:32:30,2016-10-31,MFA,3251.0,4939.0,3566.0,0.17,True,135,True
71,2016-10-31 23:32:31,2016-10-31,ES,,,,,True,135,True
72,2016-11-03 00:50:26,2016-11-03,ES,,,,,True,281,True
73,2016-11-03 00:50:26,2016-11-03,MFA,3152.0,4342.0,3502.0,0.07,True,281,True
74,2016-11-03 00:50:27,2016-11-03,ES,,,,,True,281,True
75,2016-11-03 00:54:09,2016-11-03,ES,,,,,True,284,True
76,2016-11-03 00:54:09,2016-11-03,MFA,3147.0,4347.0,3535.0,0.02,True,284,True
77,2016-11-03 00:54:10,2016-11-03,ES,,,,,True,284,True
78,2016-11-03 00:59:36,2016-11-03,ES,,,,,True,287,True
79,2016-11-03 00:59:36,2016-11-03,MFA,3147.0,4347.0,3567.0,-0.11,True,287,True
80,2016-11-03 00:59:37,2016-11-03,ES,,,,,True,287,True
81,2016-11-03 01:33:12,2016-11-03,ES,,,,,True,299,True
82,2016-11-03 01:33:12,2016-11-03,MFA,2788.0,4162.0,3531.0,-0.07,True,299,True
83,2016-11-03 01:33:13,2016-11-03,ES,,,,,True,299,True
84,2016-11-03 01:33:52,2016-11-03,ES,,,,,True,300,True
85,2016-11-03 01:33:52,2016-11-03,MFA,2773.0,4147.0,3477.0,-0.07,True,300,True
86,2016-11-03 01:33:53,2016-11-03,ES,,,,,True,300,True
