event,file_name,gph_first_arrival,atp_p_sec
0,40145.16.11.10.03.05.00.dat,25,55.692
1,40555.16.11.10.09.55.00.dat,25,30.158
2,41553.16.11.11.02.33.00.dat,25,46.448
3,42084.16.11.11.11.24.00.dat,25,10.016
4,47968.16.11.15.13.28.00.dat,25,11.952
5,57099.16.11.21.21.39.00.dat,25,45.66
6,57844.16.11.22.10.04.00.dat,42,32.252
7,57921.16.11.22.11.21.00.dat,42,7.246
8,58038.16.11.22.13.18.00.dat,42,44.864
9,58338.16.11.22.18.18.00.dat,42,25.81
10,61891.16.11.25.05.31.00.dat,33,26.098
11,62844.16.11.25.21.24.00.dat,41,1.588
12,65332.16.11.27.14.52.00.dat,41,51.944
13,66293.16.11.28.06.53.00.dat,41,38.786
14,66815.16.11.28.15.35.00.dat,32,28.134
15,67572.16.11.29.04.12.00.dat,32,48.708
16,67935.16.11.29.10.15.00.dat,25,26.5
